"USAF","date","admin_lvl1_name","country_iso2_id","country_name","admin_lvl1_id","period_date","dengue_total_cases","LAT","LON","ELEV(M)","wban","yearmoda","temp","dewp","slp","stp","visib","wdsp","mxspd","gust","max","min","prcp","sndp","frshtt"
NA,2010-01-01,"ampara","LKA","Sri Lanka","LK.AP",20100101,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100101,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"kalutara","LKA","Sri Lanka","LK.KT",20100101,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"kegalle","LKA","Sri Lanka","LK.KE",20100101,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"matale","LKA","Sri Lanka","LK.MT",20100101,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"matara","LKA","Sri Lanka","LK.MH",20100101,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100101,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"mulativu","LKA","Sri Lanka","LK.MP",20100101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100101,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-01-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100101,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"ampara","LKA","Sri Lanka","LK.AP",20100201,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100201,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"kalutara","LKA","Sri Lanka","LK.KT",20100201,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"kegalle","LKA","Sri Lanka","LK.KE",20100201,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"matale","LKA","Sri Lanka","LK.MT",20100201,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"matara","LKA","Sri Lanka","LK.MH",20100201,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100201,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"mulativu","LKA","Sri Lanka","LK.MP",20100201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100201,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-02-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100201,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-03-01,"ampara","LKA","Sri Lanka","LK.AP",20100301,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-03-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100301,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
